iter	Passed	Remaining
0	1	183
1	3	165
2	4	155
3	5	142
4	7	140
5	8	138
6	10	135
7	11	133
8	13	133
9	14	131
10	16	130
11	17	128
12	18	126
13	20	125
14	21	123
15	23	121
16	24	120
17	26	118
18	27	117
19	29	116
20	30	114
21	31	113
22	33	111
23	34	109
24	36	108
25	37	107
26	39	105
27	40	104
28	42	102
29	43	101
30	44	99
31	46	98
32	47	96
33	49	95
34	50	93
35	51	92
36	53	90
37	55	89
38	56	88
39	57	86
40	59	85
41	59	82
42	61	81
43	62	79
44	63	78
45	65	76
46	66	75
47	68	74
48	69	72
49	71	71
50	72	70
51	74	68
52	76	67
53	77	66
54	78	64
55	80	62
56	81	61
57	83	60
58	84	58
59	86	57
60	87	56
61	89	54
62	91	53
63	92	52
64	94	50
65	95	49
66	97	47
67	99	46
68	100	45
69	102	43
70	103	42
71	105	40
72	106	39
73	108	38
74	109	36
75	111	35
76	113	33
77	114	32
78	116	30
79	117	29
80	119	27
81	120	26
82	122	25
83	124	23
84	126	22
85	128	20
86	129	19
87	131	17
88	132	16
89	134	14
90	136	13
91	137	11
92	139	10
93	140	8
94	142	7
95	144	6
96	145	4
97	147	3
98	148	1
99	150	0
